# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.27239 -0.01363 -0.00000 0.00275 -0.05498 -0.00000 1.4021e-17 -1.3680e-17 8.0000e-01 1.4311e-17 -1.5721e-18 4.9825e-01 0.37734 0.52387 0.62281 -0.00000 0.00000 0.00000 1.99299e-01 7.33953e-31 -5.0700009069e-01 -3.0770072930e-01 1.1041369221e-32 
10.000 0.14837 -0.20649 -0.00004 0.04688 0.03596 0.00004 8.2117e-05 3.6992e-05 7.8968e-01 6.5855e-05 7.7476e-05 4.9769e-01 0.52518 0.37283 0.63024 0.00612 0.00008 0.00003 1.96509e-01 1.47180e-03 -5.0755545329e-01 -3.0957501804e-01 6.5474859182e-07 
20.000 0.02221 0.24932 -0.00017 -0.05983 0.00726 0.00009 -6.2565e-04 3.2168e-07 7.8755e-01 -2.3122e-04 -9.9989e-05 4.9610e-01 0.37363 0.52414 0.62993 -0.01157 -0.00014 0.00000 1.95353e-01 1.42624e-03 -5.0760867139e-01 -3.1082905695e-01 9.6519246169e-08 
30.000 -0.22637 -0.14144 -0.00005 0.02997 -0.04807 -0.00001 7.6239e-05 2.9854e-04 7.8794e-01 8.3709e-06 4.1322e-05 4.9639e-01 0.52332 0.37452 0.62998 0.01655 -0.00009 -0.00005 1.95563e-01 1.43367e-03 -5.0759859169e-01 -3.1060202885e-01 6.9034692924e-08 
40.005 0.23668 -0.11071 -0.00023 0.02279 0.05310 -0.00002 -2.8271e-04 -1.7493e-04 7.8884e-01 -1.5345e-04 1.0330e-05 4.9712e-01 0.37571 0.52228 0.63019 -0.02170 0.00012 -0.00006 1.96075e-01 1.46495e-03 -5.0756519383e-01 -3.1002518083e-01 1.0661081755e-07 
50.005 -0.07094 0.24523 -0.00014 -0.05599 -0.01599 0.00002 -1.3653e-04 -2.6887e-04 7.8943e-01 -1.3952e-05 -8.1884e-05 4.9762e-01 0.52120 0.37692 0.63035 0.02578 0.00003 0.00008 1.96418e-01 1.48935e-03 -5.0754052243e-01 -3.0963277965e-01 1.1794504169e-07 
60.005 -0.13161 -0.21816 -0.00011 0.04987 -0.03162 -0.00002 2.9885e-04 2.9949e-04 7.8752e-01 9.6341e-06 8.6403e-05 4.9617e-01 0.37842 0.51945 0.63005 -0.02916 -0.00008 -0.00012 1.95373e-01 1.44675e-03 -5.0759183472e-01 -3.1077173428e-01 1.1301593032e-07 
70.005 0.26243 0.03404 -0.00017 -0.00618 0.05718 -0.00001 -6.0552e-06 -1.4179e-04 7.8636e-01 -1.1345e-04 -1.5923e-05 4.9530e-01 0.51788 0.37986 0.62986 0.03216 0.00005 -0.00013 1.94741e-01 1.42044e-03 -5.0762292789e-01 -3.1146188492e-01 4.9416923306e-08 
80.005 -0.16484 0.20492 -0.00007 -0.04340 -0.03752 -0.00003 -1.6771e-04 -1.5651e-05 7.8641e-01 7.9315e-05 2.7223e-05 4.9536e-01 0.38111 0.51666 0.62990 -0.03482 0.00004 0.00018 1.94776e-01 1.42691e-03 -5.0761815618e-01 -3.1141488149e-01 6.8895280591e-08 
90.005 -0.03345 -0.24443 -0.00006 0.06014 -0.00714 -0.00011 -5.7307e-04 4.1021e-04 7.8781e-01 -2.5575e-04 8.0530e-05 4.9648e-01 0.51587 0.38214 0.63020 0.03720 -0.00007 0.00003 1.95565e-01 1.47242e-03 -5.0756855696e-01 -3.1053142360e-01 1.4032019020e-07 
100.005 0.20887 0.16144 -0.00007 -0.03257 0.04668 0.00008 -1.1579e-04 2.6158e-04 7.8741e-01 -1.7765e-04 1.3705e-04 4.9618e-01 0.38317 0.51480 0.63015 -0.03893 -0.00000 -0.00016 1.95348e-01 1.46262e-03 -5.0757626456e-01 -3.1076601878e-01 8.9239113972e-08 
110.005 -0.24632 0.10722 0.00008 -0.02140 -0.05202 0.00003 -1.6790e-04 -4.1183e-04 7.8615e-01 -9.2980e-05 -6.2429e-05 4.9522e-01 0.51369 0.38412 0.62993 0.04024 0.00013 0.00001 1.94660e-01 1.43167e-03 -5.0761129285e-01 -3.1151941735e-01 7.2579993744e-08 
120.005 0.06924 -0.23815 -0.00026 0.05832 0.01800 0.00003 -9.0577e-05 3.2411e-04 7.8459e-01 1.1049e-05 1.9944e-04 4.9409e-01 0.38483 0.51282 0.62974 -0.04113 0.00004 0.00008 1.93831e-01 1.40777e-03 -5.0764566541e-01 -3.1240717924e-01 6.7572621947e-08 
130.005 0.11869 0.22892 -0.00017 -0.05115 0.02751 0.00003 5.0337e-05 -1.7682e-04 7.8586e-01 -1.0538e-04 -4.8814e-05 4.9507e-01 0.51272 0.38512 0.62996 0.04186 0.00002 -0.00016 1.94527e-01 1.43782e-03 -5.0760845713e-01 -3.1164345252e-01 1.0761105814e-07 
140.005 -0.26382 -0.03391 0.00001 0.00755 -0.05604 -0.00005 2.2282e-05 4.3213e-05 7.8668e-01 -4.9529e-06 9.3714e-05 4.9572e-01 0.38521 0.51277 0.63015 -0.04227 0.00009 -0.00001 1.94987e-01 1.46584e-03 -5.0757856218e-01 -3.1112579045e-01 1.0347233889e-07 
150.005 0.17733 -0.19042 -0.00030 0.04233 0.03933 0.00001 -3.8944e-04 5.1252e-04 7.8593e-01 -1.2672e-04 1.2954e-04 4.9518e-01 0.51271 0.38519 0.63005 0.04215 -0.00007 0.00007 1.94588e-01 1.45255e-03 -5.0759677447e-01 -3.1155658738e-01 1.1083689064e-07 
160.005 0.02987 0.25166 -0.00007 -0.05884 0.00700 0.00001 -5.6621e-05 6.8661e-05 7.8395e-01 -7.5565e-05 -2.9527e-05 4.9370e-01 0.38501 0.51265 0.62976 -0.04150 -0.00009 -0.00006 1.93517e-01 1.41258e-03 -5.0764547722e-01 -3.1271569376e-01 8.3301261758e-08 
170.005 -0.20203 -0.15516 -0.00006 0.03550 -0.04778 -0.00008 -1.2307e-04 3.3717e-05 7.8363e-01 -7.4553e-05 2.1588e-04 4.9347e-01 0.51315 0.38449 0.62973 0.04070 0.00027 -0.00002 1.93349e-01 1.41010e-03 -5.0765314143e-01 -3.1289368165e-01 7.1165170034e-08 
180.005 0.25728 -0.08179 -0.00025 0.01685 0.05324 -0.00001 -4.7210e-04 -2.1497e-05 7.8471e-01 -1.2511e-04 1.1458e-05 4.9431e-01 0.38364 0.51417 0.62992 -0.03964 0.00000 0.00007 1.93944e-01 1.43589e-03 -5.0761953136e-01 -3.1223980937e-01 7.8217440651e-08 
190.005 -0.06477 0.24865 0.00017 -0.05555 -0.01713 -0.00003 1.8817e-04 3.5384e-04 7.8532e-01 3.5864e-05 1.0940e-04 4.9483e-01 0.51527 0.38267 0.63010 0.03822 -0.00004 -0.00010 1.94300e-01 1.46351e-03 -5.0759039128e-01 -3.1182650747e-01 9.5813637569e-08 
200.005 -0.10892 -0.22265 -0.00019 0.05347 -0.02880 0.00009 6.5884e-04 -1.1508e-04 7.8344e-01 2.2737e-04 2.2295e-05 4.9342e-01 0.38168 0.51603 0.62980 -0.03603 0.00013 -0.00004 1.93282e-01 1.42073e-03 -5.0764028257e-01 -3.1293800783e-01 1.0947493546e-07 
210.005 0.26348 0.05656 -0.00015 -0.01067 0.05518 0.00004 -2.8798e-04 1.5732e-04 7.8250e-01 -1.2611e-04 1.3451e-04 4.9269e-01 0.51707 0.38052 0.62963 0.03357 0.00011 0.00002 1.92763e-01 1.39622e-03 -5.0766867974e-01 -3.1350901992e-01 4.4552473689e-08 
220.005 -0.17431 0.19483 0.00003 -0.04134 -0.04073 -0.00001 1.4332e-04 2.5957e-04 7.8260e-01 2.7088e-05 2.9514e-05 4.9280e-01 0.37917 0.51847 0.62970 -0.03080 -0.00013 -0.00002 1.92831e-01 1.40663e-03 -5.0765882834e-01 -3.1342092710e-01 8.2175699121e-08 
230.005 -0.01607 -0.25067 -0.00039 0.05912 -0.00394 -0.00002 1.5905e-05 3.9588e-04 7.8436e-01 -3.4910e-05 2.2132e-04 4.9419e-01 0.52030 0.37761 0.63006 0.02763 0.00009 -0.00007 1.93810e-01 1.45869e-03 -5.0760062483e-01 -3.1233208116e-01 1.5553122921e-07 
240.005 0.20362 0.16217 0.00000 -0.03467 0.04592 0.00003 -4.3619e-04 -1.0539e-06 7.8326e-01 -5.7560e-05 6.7085e-05 4.9336e-01 0.37633 0.52146 0.62988 -0.02382 0.00007 0.00014 1.93217e-01 1.43477e-03 -5.0762991255e-01 -3.1297796256e-01 1.1050493106e-07 
250.005 -0.25329 0.07219 -0.00013 -0.01639 -0.05538 -0.00003 9.7693e-05 2.3858e-04 7.8154e-01 1.0163e-04 7.8827e-05 4.9207e-01 0.52235 0.37523 0.62962 0.01950 -0.00002 0.00006 1.92287e-01 1.39922e-03 -5.0767380933e-01 -3.1398781292e-01 6.6769928707e-08 
260.005 0.08541 -0.24550 -0.00027 0.05453 0.02005 -0.00001 1.7999e-04 1.6271e-04 7.8101e-01 -6.5257e-05 1.4843e-04 4.9169e-01 0.37415 0.52338 0.62956 -0.01480 0.00008 -0.00017 1.92009e-01 1.39216e-03 -5.0768575014e-01 -3.1428455043e-01 5.6350358617e-08 
270.005 0.12225 0.21825 0.00015 -0.05284 0.02799 -0.00008 3.3882e-04 -2.6339e-04 7.8221e-01 2.0052e-04 -4.3687e-05 4.9265e-01 0.52459 0.37314 0.62981 0.00967 0.00007 0.00003 1.92678e-01 1.42820e-03 -5.0764476137e-01 -3.1353813125e-01 1.1652495674e-07 
280.005 -0.25149 -0.07099 -0.00015 0.01328 -0.05601 0.00001 1.4221e-04 8.8568e-05 7.8258e-01 9.5011e-05 -7.1948e-07 4.9296e-01 0.37257 0.52524 0.62991 -0.00398 -0.00006 0.00005 1.92889e-01 1.44132e-03 -5.0762743303e-01 -3.1329695576e-01 8.4730325634e-08 
290.005 0.19428 -0.18756 -0.00008 0.03839 0.04055 0.00007 3.3485e-04 3.5699e-04 7.8119e-01 1.2110e-04 1.7813e-04 4.9189e-01 0.52500 0.37263 0.62967 -0.00214 0.00006 -0.00007 1.92128e-01 1.40584e-03 -5.0766756513e-01 -3.1413349129e-01 7.2188696707e-08 
300.005 0.02797 0.24641 -0.00007 -0.06079 0.00517 0.00004 -2.5945e-04 -5.4756e-05 7.7950e-01 -6.9509e-05 -1.8840e-05 4.9066e-01 0.37323 0.52423 0.62946 0.00869 0.00002 0.00004 1.91235e-01 1.38001e-03 -5.0770497199e-01 -3.1508963368e-01 6.8496335492e-08 
310.005 -0.18843 -0.17396 -0.00037 0.03843 -0.04409 0.00000 1.8548e-04 6.6807e-04 7.8093e-01 1.7822e-04 1.6618e-04 4.9175e-01 0.52345 0.37420 0.62970 -0.01567 -0.00010 0.00012 1.92012e-01 1.41299e-03 -5.0766389851e-01 -3.1423849105e-01 1.1059999020e-07 
320.005 0.26147 -0.06859 0.00012 0.01365 0.05385 0.00002 3.0589e-04 1.0403e-04 7.8156e-01 6.8989e-05 6.4525e-05 4.9227e-01 0.37596 0.52183 0.62985 0.02288 0.00000 -0.00006 1.92370e-01 1.43461e-03 -5.0763954681e-01 -3.1383471757e-01 8.8839181988e-08 
330.005 -0.08828 0.24068 -0.00016 -0.05494 -0.02075 -0.00005 1.5920e-04 -5.1899e-04 7.8066e-01 1.7405e-04 -4.0767e-05 4.9161e-01 0.51892 0.37876 0.62973 -0.03021 0.00021 0.00010 1.91889e-01 1.41969e-03 -5.0766174427e-01 -3.1435354400e-01 1.1999094697e-07 
340.005 -0.10950 -0.22814 -0.00034 0.05317 -0.02657 0.00001 1.2677e-04 2.5961e-04 7.7854e-01 1.5528e-04 1.3783e-04 4.9003e-01 0.38262 0.51481 0.62942 0.03753 -0.00000 0.00012 1.90753e-01 1.37808e-03 -5.0771403953e-01 -3.1558275898e-01 6.5953962617e-08 
350.005 0.25064 0.06543 0.00013 -0.01468 0.05651 -0.00003 4.1045e-04 -4.8719e-05 7.7895e-01 1.1342e-04 -1.0158e-04 4.9035e-01 0.51023 0.38727 0.62950 -0.04488 -0.00008 -0.00013 1.90981e-01 1.39025e-03 -5.0770207404e-01 -3.1533126583e-01 7.9133463913e-08 
360.005 -0.20419 0.17008 -0.00026 -0.03614 -0.04369 -0.00009 4.5112e-04 -1.8773e-05 7.8012e-01 2.3715e-04 7.5355e-05 4.9127e-01 0.39298 0.50472 0.62974 0.05208 0.00008 0.00008 1.91624e-01 1.42199e-03 -5.0766242128e-01 -3.1461634043e-01 9.0212686119e-08 
370.005 -0.02375 -0.25732 0.00006 0.05758 -0.00406 0.00010 2.6084e-04 1.5638e-04 7.7996e-01 2.2597e-04 -1.2336e-07 4.9118e-01 0.49778 0.39992 0.62975 -0.05864 -0.00006 0.00014 1.91551e-01 1.42334e-03 -5.0766037249e-01 -3.1468642145e-01 9.8877186914e-08 
380.005 0.18715 0.16238 0.00002 -0.03903 0.04687 0.00004 2.7986e-05 3.1690e-04 7.7754e-01 -5.1750e-05 8.4174e-05 4.8937e-01 0.40813 0.48928 0.62939 0.06428 -0.00009 -0.00011 1.90252e-01 1.37507e-03 -5.0772223283e-01 -3.1609488486e-01 8.2387758460e-08 
390.005 -0.26525 0.04117 -0.00039 -0.00992 -0.05554 -0.00001 3.9234e-04 -1.6260e-04 7.7774e-01 2.4786e-04 -4.8016e-05 4.8951e-01 0.48015 0.41729 0.62940 -0.06926 0.00006 0.00006 1.90354e-01 1.37613e-03 -5.0771904509e-01 -3.1598904725e-01 6.3132256106e-08 
400.005 0.08849 -0.24954 -0.00005 0.05252 0.02182 0.00004 -1.0658e-04 1.4801e-04 7.7861e-01 1.1276e-04 1.7949e-05 4.9021e-01 0.42746 0.47014 0.62960 0.07322 -0.00006 0.00019 1.90842e-01 1.40456e-03 -5.0768667687e-01 -3.1544035163e-01 9.5395086644e-08 
