# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 1.97772 0.09897 0.00000 -0.03517 0.70272 0.00000 -1.4397e-18 3.2256e-18 3.5500e-01 4.8704e-21 8.9997e-22 9.6714e-05 0.00017 0.00022 0.00027 0.00000 0.00000 0.00000 1.71668e-05 1.30611e-30 -2.2821509210e-04 -2.1104827826e-04 4.1047365717e-32 
10.002 -1.67725 -1.04155 0.00194 0.35917 -0.61110 -0.00718 6.1573e-03 8.0113e-03 3.8334e-01 1.7542e-06 2.0481e-06 1.0442e-04 0.00019 0.00020 0.00027 -0.00003 0.00000 0.00000 2.00269e-05 6.60225e-04 -2.2826215129e-04 4.5198964862e-04 9.4331732938e-10 
20.000 0.99883 1.64703 0.01258 -0.61589 0.39646 0.00334 1.2042e-02 -1.9513e-02 3.2235e-01 2.7195e-06 -4.6125e-06 8.7816e-05 0.00020 0.00019 0.00027 -0.00002 -0.00000 -0.00000 1.42150e-05 6.60295e-04 -2.2826558936e-04 4.4624475027e-04 8.3626266398e-10 
30.000 -0.42222 -1.91170 -0.01299 0.70442 -0.12408 0.00548 -1.7020e-02 -1.1397e-02 3.6911e-01 -3.9208e-06 -3.4515e-06 1.0053e-04 0.00022 0.00017 0.00027 -0.00000 -0.00000 -0.00000 1.86065e-05 6.60072e-04 -2.2826280976e-04 4.5041603554e-04 1.0544593790e-09 
40.002 -0.64193 1.95263 0.00167 -0.64450 -0.20606 -0.00380 -1.8667e-02 1.0280e-02 3.7266e-01 -4.6139e-06 3.3441e-06 1.0149e-04 0.00021 0.00017 0.00027 0.00002 0.00001 -0.00000 1.89711e-05 6.59820e-04 -2.2826355483e-04 4.5052722287e-04 9.5960670976e-10 
50.002 1.30963 -1.43025 -0.00352 0.52631 0.48683 -0.00048 2.1614e-02 1.6366e-02 3.4368e-01 5.3596e-06 3.6076e-06 9.3633e-05 0.00020 0.00019 0.00027 0.00003 -0.00000 0.00000 1.61775e-05 6.60065e-04 -2.2826387096e-04 4.4797836993e-04 9.8403328990e-10 
60.002 -1.90784 0.55006 0.02205 -0.20961 -0.67435 -0.00311 7.8815e-03 -1.1096e-02 4.0289e-01 2.3496e-06 -2.9763e-06 1.0974e-04 0.00017 0.00022 0.00027 0.00001 -0.00000 0.00000 2.21321e-05 6.60177e-04 -2.2826107807e-04 4.5404788067e-04 9.3633003941e-10 
70.002 1.87507 0.24552 -0.00568 -0.10663 0.73861 0.00673 -2.1915e-03 -1.1701e-02 2.8369e-01 -6.6885e-07 -2.8149e-06 7.7274e-05 0.00017 0.00022 0.00027 -0.00000 -0.00000 -0.00000 1.09782e-05 6.60273e-04 -2.2826700564e-04 4.4298426948e-04 8.3834676041e-10 
80.000 -1.88238 -0.88177 -0.00791 0.31448 -0.59597 -0.00397 -4.4338e-03 3.9482e-03 4.1019e-01 -1.1497e-06 6.6769e-07 1.1173e-04 0.00019 0.00020 0.00027 -0.00003 -0.00000 -0.00000 2.29187e-05 6.60046e-04 -2.2826172111e-04 4.5470267766e-04 9.1095318203e-10 
90.000 1.03502 1.70802 0.00540 -0.57687 0.39696 0.00140 -4.0510e-03 4.8967e-03 3.3226e-01 -7.2774e-07 1.1761e-06 9.0495e-05 0.00020 0.00019 0.00027 -0.00003 0.00000 0.00000 1.50382e-05 6.60191e-04 -2.2826579890e-04 4.4696315376e-04 1.0116678001e-09 
100.000 -0.51903 -1.87603 -0.00642 0.69490 -0.17014 -0.00536 6.0512e-03 4.7913e-03 3.6690e-01 1.5629e-06 1.1929e-06 9.9942e-05 0.00022 0.00017 0.00027 -0.00001 0.00000 0.00000 1.83420e-05 6.60056e-04 -2.2826265044e-04 4.5013556952e-04 1.0135936174e-09 
110.000 -0.75659 1.86284 0.03862 -0.65703 -0.23470 0.00722 2.0544e-02 3.9027e-03 3.9673e-01 4.8329e-06 9.8317e-07 1.0808e-04 0.00021 0.00017 0.00027 0.00002 -0.00000 0.00000 2.14909e-05 6.60081e-04 -2.2826163205e-04 4.5331055751e-04 9.4025531941e-10 
120.000 1.12471 -1.52572 -0.03218 0.57250 0.47392 0.00061 7.8558e-03 -1.5112e-02 2.7462e-01 2.1318e-06 -4.1120e-06 7.4799e-05 0.00020 0.00019 0.00027 0.00003 -0.00001 0.00000 1.03103e-05 6.60156e-04 -2.2826736015e-04 4.4219908668e-04 9.0189565906e-10 
130.000 -1.87728 1.16105 0.02727 -0.33068 -0.54311 -0.00438 -6.9424e-03 -1.6272e-02 4.2167e-01 -2.8266e-06 -3.7389e-06 1.1483e-04 0.00018 0.00021 0.00027 0.00002 -0.00000 -0.00000 2.42514e-05 6.60027e-04 -2.2826182616e-04 4.5601608278e-04 7.8084351788e-10 
140.000 1.85533 -0.26124 -0.01893 0.13344 0.73684 0.00732 6.7467e-03 2.2410e-02 2.6864e-01 1.7490e-06 5.6393e-06 7.3193e-05 0.00017 0.00022 0.00027 0.00001 0.00000 0.00000 9.90023e-06 6.60584e-04 -2.2826729808e-04 4.4221663486e-04 9.6988348959e-10 
150.000 -2.00877 -0.37491 0.01712 0.14094 -0.66925 -0.01287 1.8921e-02 -1.2368e-02 4.3256e-01 6.2674e-06 -2.1927e-06 1.1774e-04 0.00017 0.00021 0.00027 -0.00002 0.00000 0.00001 2.55384e-05 6.60017e-04 -2.2825959891e-04 4.5729600169e-04 9.1448493576e-10 
160.000 1.31953 1.42382 0.03196 -0.50201 0.52335 0.02124 3.6012e-03 -2.4394e-02 3.1286e-01 1.5215e-06 -5.9692e-06 8.5235e-05 0.00019 0.00020 0.00027 -0.00003 -0.00000 0.00000 1.34088e-05 6.60256e-04 -2.2826614048e-04 4.4539859978e-04 1.0214318267e-09 
170.000 -1.22990 -1.60453 -0.03715 0.58881 -0.37415 -0.01451 -7.7543e-03 -1.0310e-02 3.5441e-01 -1.4339e-06 -3.7610e-06 9.6453e-05 0.00021 0.00018 0.00027 -0.00002 -0.00001 0.00000 1.71169e-05 6.59967e-04 -2.2826521023e-04 4.4881835903e-04 8.5664005097e-10 
180.000 0.17969 2.06245 0.04627 -0.67062 0.07488 0.00450 1.2962e-04 6.6612e-04 3.8146e-01 -2.1805e-07 -2.4809e-07 1.0390e-04 0.00022 0.00017 0.00027 -0.00001 -0.00000 -0.00000 1.98162e-05 6.60132e-04 -2.2826347150e-04 4.5168506872e-04 9.2650943966e-10 
190.000 0.55417 -1.82489 -0.04450 0.70467 0.20608 -0.00241 1.1852e-02 -1.4938e-03 3.3049e-01 2.2800e-06 -4.1983e-07 9.0002e-05 0.00021 0.00017 0.00027 0.00002 -0.00000 -0.00000 1.48860e-05 6.60465e-04 -2.2826436127e-04 4.4708642243e-04 9.4085524499e-10 
200.000 -1.42054 1.38815 0.04886 -0.50489 -0.49601 -0.01003 1.9440e-02 -1.9126e-02 3.8864e-01 4.7195e-06 -4.7345e-06 1.0590e-04 0.00019 0.00020 0.00027 0.00003 -0.00000 0.00000 2.06698e-05 6.60209e-04 -2.2826210498e-04 4.5261629116e-04 8.5605987035e-10 
210.000 1.79499 -0.65907 -0.02278 0.24675 0.69013 0.02582 -2.5752e-03 -2.2631e-02 3.1303e-01 1.7593e-07 -5.3203e-06 8.5247e-05 0.00017 0.00022 0.00027 0.00002 -0.00000 0.00000 1.34022e-05 6.60244e-04 -2.2826535064e-04 4.4538131078e-04 1.0506337659e-09 
220.000 -2.07440 -0.04952 -0.00731 0.03652 -0.67092 -0.02259 -1.5314e-02 -2.3376e-02 3.9567e-01 -3.5332e-06 -6.2014e-06 1.0780e-04 0.00017 0.00022 0.00027 -0.00001 -0.00000 -0.00000 2.14258e-05 6.59819e-04 -2.2826241043e-04 4.5298282007e-04 9.2604866743e-10 
230.000 1.71597 0.98993 0.03097 -0.33992 0.61579 0.01561 -6.3575e-03 7.4375e-03 3.3248e-01 -1.3282e-06 7.5220e-07 9.0492e-05 0.00018 0.00021 0.00027 -0.00002 -0.00000 -0.00000 1.50505e-05 6.60087e-04 -2.2826535000e-04 4.4687180727e-04 9.8288397988e-10 
240.000 -1.10494 -1.59932 -0.03552 0.59093 -0.41410 -0.01358 9.5688e-03 6.0441e-03 3.9269e-01 2.1419e-06 6.6274e-07 1.0696e-04 0.00021 0.00018 0.00027 -0.00002 -0.00000 0.00000 2.10139e-05 6.60326e-04 -2.2826116692e-04 4.5307821764e-04 9.3400931010e-10 
